photo_id,season,colors,material,brand_year,country,festivities,theme,product_type,upload_date,year_month
1,Spring,Others,Cotton,N/A,N/A,N/A,N/A,apparel,2016-01-23,2016-01-23
2,Spring,Others,Cotton,N/A,Europe,N/A,N/A,apparel,2017-02-11,2017-02-11
3,Spring,Black & White,Cotton,2017,N/A,N/A,N/A,apparel,2016-03-05,2016-03-05
4,Spring,Black & White,Cotton,2017,USA,N/A,N/A,apparel,2016-02-11,2016-02-11
5,Spring,Black & White,Cotton,2017,USA,N/A,N/A,apparel,2016-03-23,2016-03-23
6,Spring,Black & White,Cotton,2017,USA,N/A,N/A,apparel,2016-03-21,2016-03-21
7,Spring,Black & White,Cotton,2017,Asia,N/A,Minimalistic,apparel,2017-02-12,2017-02-12
8,Spring,Black & White,Cotton,2017,USA,N/A,Minimalistic,apparel,2016-03-13,2016-03-13
9,Spring,Others,Cotton,2017,USA,N/A,Minimalistic,apparel,2016-03-16,2016-03-16
10,Spring,Pastel,Cotton,2017,USA,N/A,Minimalistic,apparel,2017-02-28,2017-02-28
11,Spring,Pastel,Cotton,2017,Asia,N/A,Comfort,apparel,2016-02-14,2016-02-14
12,Spring,Pastel,Cotton,N/A,Europe,N/A,Comfort,apparel,2016-03-13,2016-03-13
13,Spring,Pastel,Cotton,N/A,N/A,N/A,Classic,apparel,2016-03-29,2016-03-29
14,Spring,Pastel,Cotton,2015,N/A,N/A,Classic,apparel,2016-03-08,2016-03-08
15,Spring,Pastel,Nylon,2015,N/A,N/A,Classic,apparel,2017-01-04,2017-01-04
16,Spring,Pastel,Cotton,2015,UK,N/A,Classic,apparel,2016-01-18,2016-01-18
17,Spring,Pastel,Cotton,2015,N/A,N/A,Comfort,apparel,2017-01-20,2017-01-20
18,Spring,Pastel,Cotton,N/A,N/A,N/A,Elegant,apparel,2016-01-02,2016-01-02
19,Spring,Pastel,Cotton,N/A,Europe,Easter,N/A,apparel,2016-01-29,2016-01-29
20,Spring,Pastel,Cotton,N/A,Asia,N/A,Elegant,apparel,2017-02-11,2017-02-11
21,Spring,Pastel,Cotton,2016,N/A,N/A,Elegant,apparel,2016-02-27,2016-02-27
22,Spring,Pastel,Cotton,2016,N/A,N/A,N/A,apparel,2017-02-26,2017-02-26
23,Spring,Pastel,Cotton,2016,UK,Easter,N/A,apparel,2016-02-09,2016-02-09
24,Spring,Pastel,Cotton,2016,N/A,N/A,N/A,apparel,2017-03-12,2017-03-12
25,Spring,Pastel,Cotton,2016,N/A,N/A,Classic,apparel,2016-02-17,2016-02-17
26,Spring,Pastel,Cotton,2016,N/A,N/A,N/A,apparel,2016-01-31,2016-01-31
27,Spring,Warm,Cotton,2016,UK,N/A,N/A,apparel,2017-01-15,2017-01-15
28,Spring,Warm,N/A,2016,N/A,Valentine's ,N/A,apparel,2017-03-13,2017-03-13
29,Spring,Warm,Polyester,2016,N/A,N/A,Classic,apparel,2016-02-22,2016-02-22
30,Spring,Warm,Polyester,2016,N/A,Valentine's ,Classic,apparel,2016-02-12,2016-02-12
31,Spring,Others,Polyester,2016,N/A,N/A,N/A,apparel,2017-02-01,2017-02-01
32,Spring,Others,Polyester,N/A,N/A,N/A,Minimalistic,apparel,2016-02-06,2016-02-06
33,Spring,Others,Polyester,N/A,N/A,N/A,Minimalistic,apparel,2016-01-03,2016-01-03
34,Spring,Neon,Polyester,N/A,USA,N/A,N/A,apparel,2016-01-15,2016-01-15
35,Spring,Neon,Polyester,N/A,USA,N/A,Minimalistic,apparel,2016-03-16,2016-03-16
36,Spring,Neon,N/A,2015,USA,N/A,N/A,apparel,2016-02-19,2016-02-19
