photo_id,season,colors,material,year,country,festivities,theme,product_type,upload_date,year_month
201,Spring,Black,Ceramic,N/A,USA,N/A,Classic,consumer_goods,2017-03-25,2017-03-25
202,Spring,Black,Ceramic,N/A,UK,N/A,Elegant,consumer_goods,2016-01-07,2016-01-07
203,Spring,Black,Ceramic,N/A,Europe,N/A,N/A,consumer_goods,2016-01-29,2016-01-29
204,Spring,Black,Ceramic,N/A,USA,N/A,N/A,consumer_goods,2016-03-17,2016-03-17
205,Spring,Black,N/A,N/A,N/A,N/A,Comfort,consumer_goods,2016-01-01,2016-01-01
206,Spring,White,N/A,N/A,Asia,Valentine's ,N/A,consumer_goods,2017-02-07,2017-02-07
207,Spring,White,Rubber,N/A,N/A,N/A,Classic,consumer_goods,2016-01-23,2016-01-23
208,Spring,White,N/A,N/A,USA,N/A,N/A,consumer_goods,2017-02-21,2017-02-21
209,Spring,Purple,N/A,N/A,UK,N/A,N/A,consumer_goods,2017-03-27,2017-03-27
210,Spring,Others,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2017-03-12,2017-03-12
211,Spring,Green,Plastic,N/A,USA,Valentine's ,Classic,consumer_goods,2017-01-10,2017-01-10
212,Spring,Green,Plastic,N/A,N/A,N/A,N/A,consumer_goods,2017-01-07,2017-01-07
213,Spring,Others,N/A,N/A,N/A,N/A,Minimalistic,consumer_goods,2017-02-09,2017-02-09
214,Spring,Green,N/A,N/A,Asia,N/A,N/A,consumer_goods,2016-02-03,2016-02-03
215,Spring,Others,Rubber,N/A,N/A,N/A,Classic,consumer_goods,2016-03-31,2016-03-31
216,Spring,Blue,N/A,N/A,N/A,N/A,Elegant,consumer_goods,2017-03-05,2017-03-05
217,Spring,Others,Wooden,N/A,UK,N/A,N/A,consumer_goods,2016-02-03,2016-02-03
218,Spring,Brown,Ceramic,N/A,USA,Easter,Comfort,consumer_goods,2016-01-18,2016-01-18
219,Spring,Yellow,Plastic,N/A,USA,N/A,N/A,consumer_goods,2017-03-04,2017-03-04
220,Spring,Others,N/A,N/A,Europe,Easter,N/A,consumer_goods,2017-02-13,2017-02-13
221,Spring,Others,N/A,N/A,N/A,N/A,Minimalistic,consumer_goods,2016-03-10,2016-03-10
222,Summer,Others,Plastic,N/A,Asia,N/A,N/A,consumer_goods,2016-06-21,2016-06-21
223,Summer,Yellow,N/A,N/A,N/A,N/A,N/A,consumer_goods,2016-04-09,2016-04-09
